participant,female_HIGH_ATTRACTIVENESS,female_LOW_ATTRACTIVENESS,male_HIGH_ATTRACTIVENESS,male_LOW_ATTRACTIVENESS
p01,2,1.9,2.111111111111111,1.914085914085914
p02,1.7428571428571429,1.4285714285714286,2.3492063492063493,1.907092907092907
p03,1.8857142857142857,1.4142857142857141,2.4761904761904763,1.987012987012987
p04,2.942857142857143,1.9428571428571428,2.253968253968254,2.5904095904095903
p05,2.914285714285714,2.057142857142857,3.015873015873016,2.6613386613386614
p06,2.357142857142857,2.428571428571429,2.492063492063492,2.705294705294705
p07,1.4285714285714286,1.5714285714285714,2.126984126984127,1.5284715284715285
p08,1.7285714285714286,1.3714285714285714,2.0476190476190474,1.5034965034965035
p09,2.7,2.757142857142857,2.9047619047619047,2.694305694305694
p10,2.242857142857143,2.4571428571428573,2.555555555555556,2.4305694305694305
p11,2.757142857142857,2.8,3.873015873015873,4.477522477522477
p12,1.7285714285714286,1.5857142857142859,1.8253968253968254,1.878121878121878
p13,2.157142857142857,1.9714285714285715,2.3015873015873014,2.2057942057942057
p14,2.7,2.842857142857143,2.507936507936508,2.8581418581418583
p15,1.9142857142857144,2.3857142857142857,2.111111111111111,2.041958041958042
p16,2.142857142857143,1.9,2.8095238095238093,2.3206793206793206
p17,3.1285714285714286,2.4,3.301587301587302,2.9160839160839163
p18,2.9857142857142858,2.3857142857142857,2.888888888888889,2.5564435564435564
p19,2.857142857142857,2.5428571428571427,2.9047619047619047,3.5744255744255744
p20,3.5,3.185714285714286,3.2698412698412698,3.5424575424575426
p21,1.9857142857142858,2.1714285714285713,2.6666666666666665,2.050949050949051
p22,2.8857142857142857,2.8714285714285714,2.857142857142857,2.961038961038961
p23,2.9285714285714284,3.0285714285714285,3.0952380952380953,3.2567432567432566
p24,1.7,1.6285714285714286,2.6507936507936507,1.982017982017982
p25,2.342857142857143,2.2857142857142856,3.1746031746031744,2.7252747252747254
p26,2.442857142857143,1.7,2.5873015873015874,2.214785214785215
p27,2.442857142857143,1.9,3.2222222222222223,2.4375624375624376
p28,2.6,2.257142857142857,3.9523809523809526,3.74025974025974
p29,2.0142857142857142,1.7857142857142856,2.9047619047619047,2.768231768231768
p30,2.2142857142857144,2.0428571428571427,2.888888888888889,2.7592407592407593
p31,2.9714285714285715,2.5428571428571427,3.2857142857142856,2.78021978021978
p32,2.7,1.957142857142857,3.6984126984126986,3.181818181818182
p33,2.1857142857142855,2.1714285714285713,3,2.954045954045954
p34,3.2142857142857144,2.8285714285714287,3.7777777777777777,3.201798201798202
p35,2.1714285714285713,1.9714285714285715,2.6825396825396823,2.7842157842157844
p36,2.2714285714285714,2,2.6507936507936507,2.6333666333666335
p37,2.4857142857142858,2.2285714285714286,2.6825396825396823,2.8171828171828173
p38,2.342857142857143,2.1857142857142855,2.5714285714285716,2.4095904095904097
p39,1.6142857142857143,1.7571428571428571,2.873015873015873,2.884115884115884
p40,2.414285714285714,2.6857142857142855,2.015873015873016,2.2787212787212785
p41,1.6428571428571428,1.9142857142857144,2.825396825396825,2.7542457542457544
p42,2.7285714285714286,2.057142857142857,3.53968253968254,2.981018981018981
p43,3,3.057142857142857,2.984126984126984,3.01998001998002
p44,2.7142857142857144,2.3142857142857145,2.873015873015873,2.8351648351648353
p45,1.7285714285714286,1.9428571428571428,2.111111111111111,2.5414585414585416
